"isono","year","sexno","ageno","eduno","ryl15"
192,2040,0,0,0,76.1
192,2045,0,0,0,76.9
192,2050,0,0,0,77.6
192,2055,0,0,0,78.4
192,2060,0,0,0,79.1
192,2065,0,0,0,79.9
192,2070,0,0,0,80.9
192,2075,0,0,0,81.7
192,2080,0,0,0,82.5
192,2085,0,0,0,83.2
192,2090,0,0,0,84
192,2095,0,0,0,84.9
196,2010,0,0,0,68.8
196,2015,0,0,0,70
196,2020,0,0,0,71
196,2025,0,0,0,72.1
196,2030,0,0,0,73
196,2035,0,0,0,73.8
196,2040,0,0,0,74.8
196,2045,0,0,0,75.7
196,2050,0,0,0,76.6
196,2055,0,0,0,77.5
196,2060,0,0,0,78.4
196,2065,0,0,0,79.3
196,2070,0,0,0,80.1
196,2075,0,0,0,81
196,2080,0,0,0,81.9
196,2085,0,0,0,82.9
196,2090,0,0,0,83.9
196,2095,0,0,0,84.8
203,2010,0,0,0,68.6
203,2015,0,0,0,69.6
203,2020,0,0,0,70.6
203,2025,0,0,0,71.6
203,2030,0,0,0,72.5
203,2035,0,0,0,73.5
203,2040,0,0,0,74.5
203,2045,0,0,0,75.4
203,2050,0,0,0,76.3
203,2055,0,0,0,77.1
203,2060,0,0,0,77.8
203,2065,0,0,0,78.5
203,2070,0,0,0,79.2
203,2075,0,0,0,79.9
203,2080,0,0,0,80.8
203,2085,0,0,0,81.7
203,2090,0,0,0,82.6
203,2095,0,0,0,83.4
204,2010,0,0,0,62.2
204,2015,0,0,0,62.6
204,2020,0,0,0,62.8
204,2025,0,0,0,63.4
204,2030,0,0,0,63.4
204,2035,0,0,0,63.7
204,2040,0,0,0,64
204,2045,0,0,0,64.1
204,2050,0,0,0,64.3
204,2055,0,0,0,64.7
204,2060,0,0,0,65.1
204,2065,0,0,0,65.7
204,2070,0,0,0,66.2
204,2075,0,0,0,66.9
204,2080,0,0,0,67.6
204,2085,0,0,0,68.3
204,2090,0,0,0,69.1
204,2095,0,0,0,69.9
208,2010,0,0,0,69.7
208,2015,0,0,0,70.7
208,2020,0,0,0,71.6
208,2025,0,0,0,72.5
208,2030,0,0,0,73.3
208,2035,0,0,0,74.2
208,2040,0,0,0,75
208,2045,0,0,0,75.9
208,2050,0,0,0,76.8
208,2055,0,0,0,77.6
208,2060,0,0,0,78.4
