"isono","year","sexno","ageno","eduno","ggapedu25"
24,2040,0,0,6,2.15
24,2040,0,0,7,2.55
24,2045,0,0,0,NA
24,2045,0,0,1,NA
24,2045,0,0,2,0.39
24,2045,0,0,3,0.75
24,2045,0,0,4,0.98
24,2045,0,0,5,1.28
24,2045,0,0,6,2.14
24,2045,0,0,7,2.53
24,2050,0,0,0,NA
24,2050,0,0,1,NA
24,2050,0,0,2,0.38
24,2050,0,0,3,0.75
24,2050,0,0,4,0.98
24,2050,0,0,5,1.28
24,2050,0,0,6,2.14
24,2050,0,0,7,2.53
24,2055,0,0,0,NA
24,2055,0,0,1,NA
24,2055,0,0,2,0.38
24,2055,0,0,3,0.74
24,2055,0,0,4,0.98
24,2055,0,0,5,1.27
24,2055,0,0,6,2.14
24,2055,0,0,7,2.54
24,2060,0,0,0,NA
24,2060,0,0,1,NA
24,2060,0,0,2,0.38
24,2060,0,0,3,0.74
24,2060,0,0,4,0.98
24,2060,0,0,5,1.27
24,2060,0,0,6,2.14
24,2060,0,0,7,2.55
24,2065,0,0,0,NA
24,2065,0,0,1,NA
24,2065,0,0,2,0.38
24,2065,0,0,3,0.73
24,2065,0,0,4,0.98
24,2065,0,0,5,1.27
24,2065,0,0,6,2.14
24,2065,0,0,7,2.56
24,2070,0,0,0,NA
24,2070,0,0,1,NA
24,2070,0,0,2,0.37
24,2070,0,0,3,0.73
24,2070,0,0,4,0.98
24,2070,0,0,5,1.26
24,2070,0,0,6,2.14
24,2070,0,0,7,2.57
24,2075,0,0,0,NA
24,2075,0,0,1,NA
24,2075,0,0,2,0.37
24,2075,0,0,3,0.72
24,2075,0,0,4,0.98
24,2075,0,0,5,1.26
24,2075,0,0,6,2.14
24,2075,0,0,7,2.58
24,2080,0,0,0,NA
24,2080,0,0,1,NA
24,2080,0,0,2,0.37
24,2080,0,0,3,0.72
24,2080,0,0,4,0.97
24,2080,0,0,5,1.25
24,2080,0,0,6,2.13
24,2080,0,0,7,2.58
24,2085,0,0,0,NA
24,2085,0,0,1,NA
24,2085,0,0,2,0.37
24,2085,0,0,3,0.71
24,2085,0,0,4,0.97
24,2085,0,0,5,1.25
24,2085,0,0,6,2.13
24,2085,0,0,7,2.59
24,2090,0,0,0,NA
24,2090,0,0,1,NA
24,2090,0,0,2,0.37
24,2090,0,0,3,0.71
24,2090,0,0,4,0.97
24,2090,0,0,5,1.24
24,2090,0,0,6,2.12
24,2090,0,0,7,2.58
24,2095,0,0,0,NA
24,2095,0,0,1,NA
24,2095,0,0,2,0.37
24,2095,0,0,3,0.7
24,2095,0,0,4,0.96
24,2095,0,0,5,1.24
24,2095,0,0,6,2.11
24,2095,0,0,7,2.58
24,2100,0,0,0,NA
24,2100,0,0,1,NA
24,2100,0,0,2,0.36
24,2100,0,0,3,0.7
24,2100,0,0,4,0.96
24,2100,0,0,5,1.23
24,2100,0,0,6,2.11
24,2100,0,0,7,2.58
31,1970,0,0,0,NA
31,1970,0,0,1,NA
31,1970,0,0,2,0.38
31,1970,0,0,3,0.69
31,1970,0,0,4,0.78
31,1970,0,0,5,0.95
31,1970,0,0,6,2
31,1970,0,0,7,2.78
31,1975,0,0,0,NA
31,1975,0,0,1,NA
31,1975,0,0,2,0.35
31,1975,0,0,3,0.62
31,1975,0,0,4,0.67
31,1975,0,0,5,0.89
31,1975,0,0,6,1.7
31,1975,0,0,7,2.67
31,1980,0,0,0,NA
31,1980,0,0,1,NA
31,1980,0,0,2,0.32
31,1980,0,0,3,0.56
31,1980,0,0,4,0.62
31,1980,0,0,5,0.81
31,1980,0,0,6,1.43
31,1980,0,0,7,2.37
31,1985,0,0,0,NA
31,1985,0,0,1,NA
31,1985,0,0,2,0.3
31,1985,0,0,3,0.49
31,1985,0,0,4,0.57
31,1985,0,0,5,0.74
31,1985,0,0,6,1.25
31,1985,0,0,7,2.05
31,1990,0,0,0,NA
31,1990,0,0,1,NA
31,1990,0,0,2,0.28
31,1990,0,0,3,0.45
31,1990,0,0,4,0.55
31,1990,0,0,5,0.7
31,1990,0,0,6,1.11
31,1990,0,0,7,1.81
31,1995,0,0,0,NA
31,1995,0,0,1,NA
31,1995,0,0,2,0.29
31,1995,0,0,3,0.4
31,1995,0,0,4,0.48
31,1995,0,0,5,0.69
31,1995,0,0,6,1.03
31,1995,0,0,7,1.69
31,2000,0,0,0,NA
31,2000,0,0,1,NA
31,2000,0,0,2,0.29
31,2000,0,0,3,0.36
31,2000,0,0,4,0.46
31,2000,0,0,5,0.67
31,2000,0,0,6,0.98
31,2000,0,0,7,1.7
31,2005,0,0,0,NA
