"isono","year","sexno","ageno","eduno","tdr"
112,2045,0,0,0,0.59
112,2050,0,0,0,0.67
112,2055,0,0,0,0.76
112,2060,0,0,0,0.8
112,2065,0,0,0,0.8
112,2070,0,0,0,0.82
112,2075,0,0,0,0.87
112,2080,0,0,0,0.96
112,2085,0,0,0,1.02
112,2090,0,0,0,1.07
112,2095,0,0,0,1.09
112,2100,0,0,0,1.12
116,1970,0,0,0,0.85
116,1975,0,0,0,0.82
116,1980,0,0,0,0.72
116,1985,0,0,0,0.82
116,1990,0,0,0,0.87
116,1995,0,0,0,1.01
116,2000,0,0,0,0.81
116,2005,0,0,0,0.66
116,2010,0,0,0,0.56
116,2015,0,0,0,0.51
116,2020,0,0,0,0.49
116,2025,0,0,0,0.46
116,2030,0,0,0,0.43
116,2035,0,0,0,0.41
116,2040,0,0,0,0.4
116,2045,0,0,0,0.38
116,2050,0,0,0,0.42
116,2055,0,0,0,0.46
116,2060,0,0,0,0.51
116,2065,0,0,0,0.54
116,2070,0,0,0,0.57
116,2075,0,0,0,0.6
116,2080,0,0,0,0.64
116,2085,0,0,0,0.68
116,2090,0,0,0,0.72
116,2095,0,0,0,0.75
116,2100,0,0,0,0.77
120,1970,0,0,0,0.85
120,1975,0,0,0,0.9
120,1980,0,0,0,0.93
120,1985,0,0,0,0.95
120,1990,0,0,0,0.95
120,1995,0,0,0,0.92
120,2000,0,0,0,0.86
120,2005,0,0,0,0.82
120,2010,0,0,0,0.79
120,2015,0,0,0,0.78
120,2020,0,0,0,0.75
120,2025,0,0,0,0.71
120,2030,0,0,0,0.67
120,2035,0,0,0,0.64
120,2040,0,0,0,0.61
120,2045,0,0,0,0.59
120,2050,0,0,0,0.57
120,2055,0,0,0,0.56
120,2060,0,0,0,0.54
120,2065,0,0,0,0.53
120,2070,0,0,0,0.52
120,2075,0,0,0,0.52
120,2080,0,0,0,0.53
120,2085,0,0,0,0.53
120,2090,0,0,0,0.53
120,2095,0,0,0,0.54
120,2100,0,0,0,0.54
124,1970,0,0,0,0.61
124,1975,0,0,0,0.53
124,1980,0,0,0,0.47
124,1985,0,0,0,0.43
124,1990,0,0,0,0.47
124,1995,0,0,0,0.48
124,2000,0,0,0,0.46
124,2005,0,0,0,0.44
124,2010,0,0,0,0.44
124,2015,0,0,0,0.46
124,2020,0,0,0,0.5
124,2025,0,0,0,0.55
124,2030,0,0,0,0.6
124,2035,0,0,0,0.61
124,2040,0,0,0,0.62
124,2045,0,0,0,0.63
124,2050,0,0,0,0.65
124,2055,0,0,0,0.69
124,2060,0,0,0,0.73
124,2065,0,0,0,0.77
124,2070,0,0,0,0.8
124,2075,0,0,0,0.85
124,2080,0,0,0,0.9
124,2085,0,0,0,0.95
124,2090,0,0,0,1.01
124,2095,0,0,0,1.07
124,2100,0,0,0,1.14
132,1970,0,0,0,1.09
132,1975,0,0,0,1.02
132,1980,0,0,0,1.06
132,1985,0,0,0,0.97
132,1990,0,0,0,1.01
132,1995,0,0,0,0.98
132,2000,0,0,0,0.89
132,2005,0,0,0,0.75
132,2010,0,0,0,0.61
132,2015,0,0,0,0.51
132,2020,0,0,0,0.47
132,2025,0,0,0,0.44
132,2030,0,0,0,0.43
132,2035,0,0,0,0.42
132,2040,0,0,0,0.42
132,2045,0,0,0,0.44
132,2050,0,0,0,0.47
132,2055,0,0,0,0.54
132,2060,0,0,0,0.61
132,2065,0,0,0,0.67
132,2070,0,0,0,0.73
132,2075,0,0,0,0.8
132,2080,0,0,0,0.86
132,2085,0,0,0,0.93
132,2090,0,0,0,0.99
132,2095,0,0,0,1.03
132,2100,0,0,0,1.09
140,1970,0,0,0,0.81
140,1975,0,0,0,0.85
140,1980,0,0,0,0.86
140,1985,0,0,0,0.86
140,1990,0,0,0,0.89
140,1995,0,0,0,0.87
140,2000,0,0,0,0.85
140,2005,0,0,0,0.84
140,2010,0,0,0,0.8
140,2015,0,0,0,0.76
140,2020,0,0,0,0.73
140,2025,0,0,0,0.71
140,2030,0,0,0,0.69
140,2035,0,0,0,0.65
140,2040,0,0,0,0.61
140,2045,0,0,0,0.58
140,2050,0,0,0,0.56
140,2055,0,0,0,0.55
140,2060,0,0,0,0.54
140,2065,0,0,0,0.52
140,2070,0,0,0,0.51
140,2075,0,0,0,0.5
140,2080,0,0,0,0.49
140,2085,0,0,0,0.5
140,2090,0,0,0,0.5
140,2095,0,0,0,0.51
140,2100,0,0,0,0.51
144,1970,0,0,0,0.77
144,1975,0,0,0,0.7
144,1980,0,0,0,0.67
144,1985,0,0,0,0.63
144,1990,0,0,0,0.6
144,1995,0,0,0,0.55
144,2000,0,0,0,0.49
144,2005,0,0,0,0.48
144,2010,0,0,0,0.49
144,2015,0,0,0,0.52
144,2020,0,0,0,0.51
144,2025,0,0,0,0.49
144,2030,0,0,0,0.49
144,2035,0,0,0,0.51
