"isono","year","sexno","ageno","eduno","podr"
320,2075,0,0,0,0.09
320,2080,0,0,0,0.098
320,2085,0,0,0,0.108
320,2090,0,0,0,0.115
320,2095,0,0,0,0.121
324,2010,0,0,0,0.044
324,2015,0,0,0,0.044
324,2020,0,0,0,0.047
324,2025,0,0,0,0.048
324,2030,0,0,0,0.051
324,2035,0,0,0,0.055
324,2040,0,0,0,0.059
324,2045,0,0,0,0.065
324,2050,0,0,0,0.073
324,2055,0,0,0,0.079
324,2060,0,0,0,0.085
324,2065,0,0,0,0.095
324,2070,0,0,0,0.105
324,2075,0,0,0,0.115
324,2080,0,0,0,0.125
324,2085,0,0,0,0.133
324,2090,0,0,0,0.138
324,2095,0,0,0,0.141
328,2010,0,0,0,0.042
328,2015,0,0,0,0.047
328,2020,0,0,0,0.058
328,2025,0,0,0,0.068
328,2030,0,0,0,0.084
328,2035,0,0,0,0.099
328,2040,0,0,0,0.115
328,2045,0,0,0,0.128
328,2050,0,0,0,0.138
328,2055,0,0,0,0.145
328,2060,0,0,0,0.147
328,2065,0,0,0,0.151
328,2070,0,0,0,0.168
328,2075,0,0,0,0.19
328,2080,0,0,0,0.2
328,2085,0,0,0,0.193
328,2090,0,0,0,0.187
328,2095,0,0,0,0.18
332,2010,0,0,0,0.058
332,2015,0,0,0,0.058
332,2020,0,0,0,0.061
332,2025,0,0,0,0.063
332,2030,0,0,0,0.067
332,2035,0,0,0,0.07
332,2040,0,0,0,0.074
332,2045,0,0,0,0.081
332,2050,0,0,0,0.095
332,2055,0,0,0,0.109
332,2060,0,0,0,0.124
332,2065,0,0,0,0.135
332,2070,0,0,0,0.145
332,2075,0,0,0,0.153
332,2080,0,0,0,0.162
332,2085,0,0,0,0.167
332,2090,0,0,0,0.17
332,2095,0,0,0,0.172
340,2010,0,0,0,0.033
340,2015,0,0,0,0.032
340,2020,0,0,0,0.033
340,2025,0,0,0,0.037
340,2030,0,0,0,0.04
340,2035,0,0,0,0.044
340,2040,0,0,0,0.05
340,2045,0,0,0,0.055
