"isono","year","sexno","ageno","eduno","e0"
76,2070,2,0,0,91.2
76,2075,2,0,0,92.1
76,2080,2,0,0,93.1
76,2085,2,0,0,94
76,2090,2,0,0,94.9
76,2095,2,0,0,95.8
76,2010,0,0,0,74
76,2015,0,0,0,75.5
76,2020,0,0,0,77
76,2025,0,0,0,78.5
76,2030,0,0,0,79.9
76,2035,0,0,0,81.2
76,2040,0,0,0,82.6
76,2045,0,0,0,83.7
76,2050,0,0,0,84.8
76,2055,0,0,0,85.7
76,2060,0,0,0,86.5
76,2065,0,0,0,87.6
76,2070,0,0,0,88.5
76,2075,0,0,0,89.4
76,2080,0,0,0,90.3
76,2085,0,0,0,91.2
76,2090,0,0,0,92.1
76,2095,0,0,0,93
84,2010,1,0,0,75.3
84,2015,1,0,0,76.8
84,2020,1,0,0,77.7
84,2025,1,0,0,78.7
84,2030,1,0,0,80
84,2035,1,0,0,81
84,2040,1,0,0,82.2
84,2045,1,0,0,83.2
84,2050,1,0,0,84.4
84,2055,1,0,0,85.6
84,2060,1,0,0,86.8
84,2065,1,0,0,88.1
84,2070,1,0,0,89.3
84,2075,1,0,0,90.5
84,2080,1,0,0,91.6
84,2085,1,0,0,92.6
84,2090,1,0,0,93.6
84,2095,1,0,0,94.7
84,2010,2,0,0,78.2
84,2015,2,0,0,79.6
84,2020,2,0,0,80.9
84,2025,2,0,0,82.1
84,2030,2,0,0,83.3
84,2035,2,0,0,84.2
84,2040,2,0,0,85.3
84,2045,2,0,0,86.3
84,2050,2,0,0,87.3
84,2055,2,0,0,88.4
84,2060,2,0,0,89.6
84,2065,2,0,0,90.8
84,2070,2,0,0,92
84,2075,2,0,0,93
84,2080,2,0,0,94.1
84,2085,2,0,0,95.1
84,2090,2,0,0,96
84,2095,2,0,0,97
84,2010,0,0,0,76.7
84,2015,0,0,0,78.2
84,2020,0,0,0,79.3
84,2025,0,0,0,80.4
84,2030,0,0,0,81.6
84,2035,0,0,0,82.6
84,2040,0,0,0,83.8
84,2045,0,0,0,84.8
84,2050,0,0,0,85.9
84,2055,0,0,0,87
84,2060,0,0,0,88.2
84,2065,0,0,0,89.5
84,2070,0,0,0,90.7
84,2075,0,0,0,91.8
84,2080,0,0,0,92.8
84,2085,0,0,0,93.9
84,2090,0,0,0,94.9
84,2095,0,0,0,95.9
90,2010,1,0,0,65.1
90,2015,1,0,0,65.4
90,2020,1,0,0,65.9
