"isono","year","sexno","ageno","eduno","odr"
208,2040,0,0,0,0.42
208,2045,0,0,0,0.42
208,2050,0,0,0,0.41
208,2055,0,0,0,0.42
208,2060,0,0,0,0.44
208,2065,0,0,0,0.46
208,2070,0,0,0,0.48
208,2075,0,0,0,0.5
208,2080,0,0,0,0.5
208,2085,0,0,0,0.52
208,2090,0,0,0,0.54
208,2095,0,0,0,0.57
208,2100,0,0,0,0.6
214,1970,0,0,0,0.06
214,1975,0,0,0,0.06
214,1980,0,0,0,0.06
214,1985,0,0,0,0.05
214,1990,0,0,0,0.07
214,1995,0,0,0,0.08
214,2000,0,0,0,0.09
214,2005,0,0,0,0.1
214,2010,0,0,0,0.1
214,2015,0,0,0,0.11
214,2020,0,0,0,0.12
214,2025,0,0,0,0.14
214,2030,0,0,0,0.16
214,2035,0,0,0,0.19
214,2040,0,0,0,0.21
214,2045,0,0,0,0.23
214,2050,0,0,0,0.26
214,2055,0,0,0,0.29
214,2060,0,0,0,0.33
214,2065,0,0,0,0.36
214,2070,0,0,0,0.39
214,2075,0,0,0,0.42
214,2080,0,0,0,0.45
214,2085,0,0,0,0.48
214,2090,0,0,0,0.51
214,2095,0,0,0,0.54
214,2100,0,0,0,0.57
218,1970,0,0,0,0.08
218,1975,0,0,0,0.08
218,1980,0,0,0,0.08
218,1985,0,0,0,0.06
218,1990,0,0,0,0.07
218,1995,0,0,0,0.08
218,2000,0,0,0,0.08
218,2005,0,0,0,0.09
218,2010,0,0,0,0.1
218,2015,0,0,0,0.11
218,2020,0,0,0,0.12
218,2025,0,0,0,0.14
218,2030,0,0,0,0.16
218,2035,0,0,0,0.19
218,2040,0,0,0,0.22
218,2045,0,0,0,0.25
218,2050,0,0,0,0.28
218,2055,0,0,0,0.32
218,2060,0,0,0,0.35
218,2065,0,0,0,0.38
218,2070,0,0,0,0.41
218,2075,0,0,0,0.44
218,2080,0,0,0,0.47
218,2085,0,0,0,0.5
218,2090,0,0,0,0.53
218,2095,0,0,0,0.55
218,2100,0,0,0,0.58
222,1970,0,0,0,0.07
222,1975,0,0,0,0.07
222,1980,0,0,0,0.08
222,1985,0,0,0,0.07
222,1990,0,0,0,0.09
222,1995,0,0,0,0.09
222,2000,0,0,0,0.1
222,2005,0,0,0,0.11
222,2010,0,0,0,0.11
222,2015,0,0,0,0.12
222,2020,0,0,0,0.13
222,2025,0,0,0,0.14
222,2030,0,0,0,0.16
222,2035,0,0,0,0.19
222,2040,0,0,0,0.21
222,2045,0,0,0,0.24
222,2050,0,0,0,0.28
222,2055,0,0,0,0.33
222,2060,0,0,0,0.38
222,2065,0,0,0,0.44
222,2070,0,0,0,0.47
222,2075,0,0,0,0.5
222,2080,0,0,0,0.52
222,2085,0,0,0,0.55
222,2090,0,0,0,0.56
222,2095,0,0,0,0.58
222,2100,0,0,0,0.58
226,1970,0,0,0,0.08
226,1975,0,0,0,0.11
226,1980,0,0,0,0.12
226,1985,0,0,0,0.07
226,1990,0,0,0,0.08
226,1995,0,0,0,0.07
226,2000,0,0,0,0.07
226,2005,0,0,0,0.06
226,2010,0,0,0,0.05
226,2015,0,0,0,0.05
226,2020,0,0,0,0.06
226,2025,0,0,0,0.07
226,2030,0,0,0,0.09
226,2035,0,0,0,0.1
226,2040,0,0,0,0.09
226,2045,0,0,0,0.09
226,2050,0,0,0,0.08
226,2055,0,0,0,0.09
226,2060,0,0,0,0.11
226,2065,0,0,0,0.12
226,2070,0,0,0,0.13
226,2075,0,0,0,0.15
226,2080,0,0,0,0.16
226,2085,0,0,0,0.18
226,2090,0,0,0,0.2
226,2095,0,0,0,0.22
226,2100,0,0,0,0.24
231,1970,0,0,0,0.05
231,1975,0,0,0,0.05
231,1980,0,0,0,0.05
231,1985,0,0,0,0.05
231,1990,0,0,0,0.06
231,1995,0,0,0,0.06
231,2000,0,0,0,0.06
231,2005,0,0,0,0.06
231,2010,0,0,0,0.06
231,2015,0,0,0,0.06
231,2020,0,0,0,0.06
231,2025,0,0,0,0.06
231,2030,0,0,0,0.07
231,2035,0,0,0,0.07
231,2040,0,0,0,0.08
231,2045,0,0,0,0.09
231,2050,0,0,0,0.1
231,2055,0,0,0,0.11
231,2060,0,0,0,0.13
231,2065,0,0,0,0.15
231,2070,0,0,0,0.17
231,2075,0,0,0,0.18
231,2080,0,0,0,0.2
231,2085,0,0,0,0.22
231,2090,0,0,0,0.24
231,2095,0,0,0,0.26
231,2100,0,0,0,0.28
232,1970,0,0,0,0.05
232,1975,0,0,0,0.05
232,1980,0,0,0,0.08
232,1985,0,0,0,0.05
232,1990,0,0,0,0.05
232,1995,0,0,0,0.05
232,2000,0,0,0,0.05
232,2005,0,0,0,0.04
232,2010,0,0,0,0.04
232,2015,0,0,0,0.05
232,2020,0,0,0,0.04
232,2025,0,0,0,0.04
232,2030,0,0,0,0.04
232,2035,0,0,0,0.05
232,2040,0,0,0,0.06
232,2045,0,0,0,0.08
232,2050,0,0,0,0.1
232,2055,0,0,0,0.11
232,2060,0,0,0,0.12
232,2065,0,0,0,0.13
232,2070,0,0,0,0.15
232,2075,0,0,0,0.18
232,2080,0,0,0,0.2
232,2085,0,0,0,0.22
232,2090,0,0,0,0.25
232,2095,0,0,0,0.27
232,2100,0,0,0,0.3
233,1970,0,0,0,0.18
233,1975,0,0,0,0.18
233,1980,0,0,0,0.19
233,1985,0,0,0,0.14
233,1990,0,0,0,0.18
233,1995,0,0,0,0.21
233,2000,0,0,0,0.23
233,2005,0,0,0,0.25
233,2010,0,0,0,0.25
233,2015,0,0,0,0.27
233,2020,0,0,0,0.3
233,2025,0,0,0,0.32
233,2030,0,0,0,0.34
233,2035,0,0,0,0.36
233,2040,0,0,0,0.38
233,2045,0,0,0,0.42
233,2050,0,0,0,0.47
233,2055,0,0,0,0.54
233,2060,0,0,0,0.55
233,2065,0,0,0,0.53
233,2070,0,0,0,0.52
233,2075,0,0,0,0.55
233,2080,0,0,0,0.57
233,2085,0,0,0,0.6
233,2090,0,0,0,0.62
233,2095,0,0,0,0.63
233,2100,0,0,0,0.64
242,1970,0,0,0,0.04
242,1975,0,0,0,0.04
242,1980,0,0,0,0.04
242,1985,0,0,0,0.04
242,1990,0,0,0,0.05
242,1995,0,0,0,0.05
