"isono","year","sexno","ageno","eduno","bmys"
748,1990,2,0,0,2.8
748,1995,0,0,0,3.1
748,1995,1,0,0,3.1
748,1995,2,0,0,3.2
748,2000,0,0,0,3.7
748,2000,1,0,0,3.6
748,2000,2,0,0,3.8
748,2005,0,0,0,4.3
748,2005,1,0,0,4.3
748,2005,2,0,0,4.3
748,2010,0,0,0,5
748,2010,1,0,0,5
748,2010,2,0,0,5
748,2015,0,0,0,5.8
748,2015,1,0,0,5.8
748,2015,2,0,0,5.8
748,2020,0,0,0,6.5
748,2020,1,0,0,6.5
748,2020,2,0,0,6.5
748,2025,0,0,0,7.2
748,2025,1,0,0,7.2
748,2025,2,0,0,7.2
748,2030,0,0,0,7.8
748,2030,1,0,0,7.8
748,2030,2,0,0,7.9
748,2035,0,0,0,8.5
748,2035,1,0,0,8.5
748,2035,2,0,0,8.5
748,2040,0,0,0,9.1
748,2040,1,0,0,9.1
748,2040,2,0,0,9.1
748,2045,0,0,0,9.6
748,2045,1,0,0,9.5
748,2045,2,0,0,9.6
748,2050,0,0,0,10
748,2050,1,0,0,10
748,2050,2,0,0,10.1
748,2055,0,0,0,10.5
748,2055,1,0,0,10.4
748,2055,2,0,0,10.5
748,2060,0,0,0,10.9
748,2060,1,0,0,10.8
748,2060,2,0,0,10.9
748,2065,0,0,0,11.2
748,2065,1,0,0,11.1
748,2065,2,0,0,11.3
748,2070,0,0,0,11.5
748,2070,1,0,0,11.5
748,2070,2,0,0,11.6
748,2075,0,0,0,11.8
748,2075,1,0,0,11.7
748,2075,2,0,0,11.9
748,2080,0,0,0,12.1
748,2080,1,0,0,12
748,2080,2,0,0,12.2
748,2085,0,0,0,12.3
748,2085,1,0,0,12.3
748,2085,2,0,0,12.4
748,2090,0,0,0,12.6
748,2090,1,0,0,12.5
748,2090,2,0,0,12.6
748,2095,0,0,0,12.8
748,2095,1,0,0,12.7
748,2095,2,0,0,12.8
748,2100,0,0,0,12.9
748,2100,1,0,0,12.9
748,2100,2,0,0,13
752,1970,0,0,0,7.1
752,1970,1,0,0,7
752,1970,2,0,0,7.3
752,1975,0,0,0,7.5
752,1975,1,0,0,7.3
752,1975,2,0,0,7.7
752,1980,0,0,0,8
752,1980,1,0,0,7.8
752,1980,2,0,0,8.1
752,1985,0,0,0,8.5
752,1985,1,0,0,8.3
752,1985,2,0,0,8.7
752,1990,0,0,0,8.9
752,1990,1,0,0,8.7
752,1990,2,0,0,9
752,1995,0,0,0,9.1
752,1995,1,0,0,9
752,1995,2,0,0,9.3
752,2000,0,0,0,9.5
752,2000,1,0,0,9.3
752,2000,2,0,0,9.7
752,2005,0,0,0,9.9
752,2005,1,0,0,9.7
752,2005,2,0,0,10
752,2010,0,0,0,10.2
752,2010,1,0,0,10
752,2010,2,0,0,10.4
752,2015,0,0,0,10.4
752,2015,1,0,0,10.2
752,2015,2,0,0,10.6
752,2020,0,0,0,10.6
752,2020,1,0,0,10.4
752,2020,2,0,0,10.8
752,2025,0,0,0,10.7
752,2025,1,0,0,10.5
752,2025,2,0,0,10.9
752,2030,0,0,0,10.9
752,2030,1,0,0,10.7
752,2030,2,0,0,11.1
752,2035,0,0,0,11.1
752,2035,1,0,0,10.9
752,2035,2,0,0,11.3
752,2040,0,0,0,11.3
752,2040,1,0,0,11.1
752,2040,2,0,0,11.5
752,2045,0,0,0,11.5
752,2045,1,0,0,11.3
752,2045,2,0,0,11.7
752,2050,0,0,0,11.6
752,2050,1,0,0,11.5
752,2050,2,0,0,11.8
752,2055,0,0,0,11.7
752,2055,1,0,0,11.6
752,2055,2,0,0,11.9
752,2060,0,0,0,11.9
752,2060,1,0,0,11.7
752,2060,2,0,0,12
752,2065,0,0,0,12
752,2065,1,0,0,11.9
752,2065,2,0,0,12.1
752,2070,0,0,0,12.1
752,2070,1,0,0,12
752,2070,2,0,0,12.2
752,2075,0,0,0,12.3
752,2075,1,0,0,12.2
752,2075,2,0,0,12.4
752,2080,0,0,0,12.4
752,2080,1,0,0,12.3
752,2080,2,0,0,12.5
752,2085,0,0,0,12.5
752,2085,1,0,0,12.4
752,2085,2,0,0,12.6
752,2090,0,0,0,12.6
752,2090,1,0,0,12.5
752,2090,2,0,0,12.7
752,2095,0,0,0,12.7
752,2095,1,0,0,12.6
752,2095,2,0,0,12.8
